schemaVersion,recordType,source_name,source_url,company,title,date,is_remote,role_family,collectedAt
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/lendable/real-time-coordinator-london-kent-266496,Lendable,Real Time Coordinator,2026-08-10T09:40:15+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/lendable/senior-ai-quality-engineer-london-79753,Lendable,Senior AI Quality Engineer,2026-08-10T09:40:15+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/lendable/senior-quality-engineer-ai-london-334599,Lendable,Senior Quality Engineer - AI,2026-08-10T09:40:15+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/quantum/head-of-business-development-london-419375,Quantum,Head of Business Development,2026-08-10T09:40:07+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/kargo22/senior-interactive-designer-london-71705,Kargo22,Senior Interactive Designer,2026-08-10T06:55:34+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/tanium/remote-director-of-strategic-accounts-central-government-188566,tanium,Director of Strategic Accounts - Central Government,2026-08-10T06:55:31+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/iterable/senior-it-engineer-ai-london-31960,Iterable,Senior IT Engineer (AI),2026-08-10T06:55:28+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/iterable/account-executive-commercial-london-107,Iterable,Account Executive (Commercial),2026-08-10T06:55:28+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/pendo/senior-customer-engineer-pre-post-sales-london-23273,pendo,Senior Customer Engineer - Pre & Post Sales,2026-08-10T06:55:15+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/pendo/account-director-enterprise-sales-french-markets-london-108053,pendo,"Account Director, Enterprise Sales - French Markets",2026-08-10T06:55:15+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/lastpass/principal-cloud-security-engineer-49616,Lastpass,Principal Cloud Security Engineer,2026-08-10T06:55:11+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/tripadvisor/senior-manager-fpa-portugal-or-poland-34394,tripadvisor,Senior Manager FP&A,2026-08-10T06:55:10+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/technical-recruiter-sydney-sydney-australia-204731,Andurilindustries,"Technical Recruiter, Sydney",2026-08-10T03:55:40+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/staff-software-engineer-sydney-australia-370064,Andurilindustries,Staff Software Engineer,2026-08-10T03:55:40+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/staff-platform-engineer-staff-site-reliability-engineer-sydney-australia-315619,Andurilindustries,Staff Platform Engineer / Staff Site Reliability Engineer,2026-08-10T03:55:39+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/software-engineer-sydney-australia-322070,Andurilindustries,Software Engineer,2026-08-10T03:55:39+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/senior-systems-engineer-sydney-australia-461720,Andurilindustries,Senior Systems Engineer,2026-08-10T03:55:38+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/senior-software-engineer-site-reliability-sydney-australia-33258,Andurilindustries,"Senior Software Engineer, Site Reliability",2026-08-10T03:55:38+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/senior-software-engineer-flight-software-sydney-australia-272592,Andurilindustries,Senior Software Engineer (Flight Software),2026-08-10T03:55:38+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/senior-software-engineer-sydney-australia-55037,Andurilindustries,Senior Software Engineer,2026-08-10T03:55:37+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/senior-site-reliability-engineer-sydney-australia-497305,Andurilindustries,Senior Site Reliability Engineer,2026-08-10T03:55:37+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/senior-robotics-software-engineer-payload-integration-sydney-australia-71021,Andurilindustries,"Senior Robotics Software Engineer, Payload Integration",2026-08-10T03:55:37+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/senior-robotics-engineer-sydney-australia-359112,Andurilindustries,Senior Robotics Engineer,2026-08-10T03:55:37+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/senior-reliability-engineering-sydney-australia-169781,Andurilindustries,Senior Reliability Engineering,2026-08-10T03:55:37+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/senior-platform-engineer-senior-devops-engineer-senior-infrastructure-engineer-senior-site-reliability-engineer-sydney-australia-473787,Andurilindustries,Senior Platform Engineer / Senior DevOps Engineer / Senior Infrastructure Engineer / Senior Site Reliability Engineer,2026-08-10T03:55:37+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/andurilindustries/senior-manager-software-engineering-sydney-australia-460044,Andurilindustries,"Senior Manager, Software Engineering",2026-08-10T03:55:36+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
